gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT1G22540	0.9030478308801223	0.9712790552287324	-1.0719228762293584	-0.8024040098794959	5	#80B1D3
AT1G22590	0.954971362826781	0.9233457370537291	-0.9272326100639648	-0.9510844898165451	5	#80B1D3
AT1G22890	1.0961958095527409	0.6683824466184897	-0.910093272029637	-0.854484984141593	5	#80B1D3
AT1G22900	0.7223572091052921	1.0814653062792368	-0.8104942571945979	-0.9933282581899312	5	#80B1D3
AT1G23130	0.9954986976230114	0.9012145449837614	-0.9537999848468155	-0.9429132577599568	5	#80B1D3
AT1G23150	0.97744082623474	0.75286102561293	-1.0656999715743627	-0.6646018802733072	5	#80B1D3
AT1G23205	0.3610234143496628	1.3771136270873476	-0.9716134648169228	-0.766523576620088	4	#FB8072
AT1G23380	0.7780389760890623	1.0336347911752268	-0.9049891265304527	-0.9066846407338367	5	#80B1D3
AT1G23460	1.0041919093416425	0.8819927592369885	-1.0206732080772167	-0.8655114605014137	5	#80B1D3
AT1G23890	0.9607169728530942	0.9310452037069176	-0.9214806270033373	-0.9702815495566748	5	#80B1D3
AT1G24145	1.0440887155529388	0.1705143844189339	-0.6253561591878294	-0.5892469407840436	3	#BEBADA
AT1G24210	1.2964882534010513	0.3594352017238717	-0.8020052614339097	-0.8539181936910135	3	#BEBADA
AT1G24240	0.7459507741325928	0.9084970650794824	-0.5946458870930201	-1.0598019521190558	5	#80B1D3
AT1G25211	0.9494412058165964	0.9625835499809873	-0.9560123778987919	-0.9560123778987919	5	#80B1D3
AT1G25400	0.5688256996310489	1.1566987864841318	-0.8237555621682224	-0.9017689239469586	4	#FB8072
AT1G26233	-0.7376377387974278	-0.7618770738852648	0.0460172204470502	1.4534975922356426	2	#FFFFB3
AT1G26240	1.2479458956347318	-0.11744861226408124	-0.6025738024235643	-0.5279234809470863	3	#BEBADA
AT1G26360	-0.5020872298125377	-1.142643874842757	1.1889555076605123	0.4557755969947821	1	#8DD3C7
AT1G26390	-0.20462229661976375	0.9391465307831397	-0.33930687116404656	-0.39521736299932947	4	#FB8072
AT1G26530	-0.6873842237739869	-0.9222791195416017	1.2592166324186556	0.35044671089693297	1	#8DD3C7
AT1G26560	-0.8636117747957632	-0.6450898491301693	0.1607848341931952	1.347916789732737	2	#FFFFB3
AT1G26680	0.9964140554305038	0.8658622641129461	-0.8063926584826836	-1.0558836610607663	5	#80B1D3
AT1G26900	1.0319826711858777	0.7975525544830886	-0.7545962864183502	-1.0749389392506157	5	#80B1D3
AT1G26930	0.6512675962729441	1.084306660753571	-0.8686008848365455	-0.8669733721899687	5	#80B1D3
AT1G27285	1.2512638218240402	0.44424145110442803	-0.8477526364642342	-0.8477526364642342	5	#80B1D3
AT1G27580	-0.8792061099131094	-0.8999183073075783	0.6441999716874718	1.1349244455332157	2	#FFFFB3
AT1G27940	-1.0069255425281098	-0.8749061934365282	0.8549407042561863	1.0268910317084514	1	#8DD3C7
AT1G28230	-0.1893878536508515	-1.2105313572401166	0.9214820290422713	0.4784371818486978	1	#8DD3C7
AT1G28480	0.6533007441641938	0.8294429284436767	-0.6675098678669935	-0.8152338047408771	5	#80B1D3
AT1G28570	1.1178110896205993	0.544411119034214	-0.6966882354510324	-0.9655339732037801	5	#80B1D3
AT1G28590	-0.7915913584021459	-0.9082985482158046	1.4043896904067252	0.2955002162112255	1	#8DD3C7
AT1G28670	1.0985874875991517	0.7929036290781044	-0.8937463803743542	-0.997744736302902	5	#80B1D3
AT1G29110	-0.8506401229722129	-0.854895495791072	0.4335990127685704	1.2719366059947146	2	#FFFFB3
AT1G29170	0.9384810443656934	0.9240121422969572	-0.8772106038476889	-0.9852825828149618	5	#80B1D3
AT1G29355	1.1808095542292825	0.6847112622795213	-0.9226031331062847	-0.9429176834025186	5	#80B1D3
AT1G29357	1.199878311189637	0.6647044878094229	-0.9791727100628045	-0.8854100889362564	5	#80B1D3
AT1G29465	-0.8416745688631491	-0.864702449383399	1.066821601371308	0.6395554168752395	1	#8DD3C7
AT1G29560	-0.7401573688798313	-0.9460493463234201	0.9011118936811985	0.785094821522052	1	#8DD3C7
AT1G29590	1.0313342941115538	0.8080066767580771	-0.9520329004184839	-0.887308070451147	5	#80B1D3
AT1G29600	0.8068887078833198	0.9048322168348846	-0.8555160012444665	-0.8562049234737379	5	#80B1D3
AT1G29630	1.0803542336710379	0.7360702537781887	-0.8085724139617455	-1.0078520734874816	5	#80B1D3
AT1G30160	-0.8977319884738973	-0.8194466530722889	0.43587224378420475	1.2813063977619812	2	#FFFFB3
AT1G30170	-0.6648258824306879	-0.5862822667312292	1.2635464748983478	-0.012438325736430722	1	#8DD3C7
AT1G30220	-0.9478715223504898	-0.7753695616573895	0.9777967175146739	0.7454443664932048	1	#8DD3C7
AT1G30475	1.2132287319923611	0.3891647241921667	-0.5024534194387728	-1.0999400367457555	3	#BEBADA
AT1G30730	0.6065118540521341	1.0034930013467518	-0.9127796345103764	-0.69722522088851	5	#80B1D3
AT1G31020	1.070852089100524	0.6866804011160714	-0.6567885424213429	-1.1007439477952525	5	#80B1D3
AT1G31258	0.9735280926921996	0.9246091986792623	-0.9490686456857311	-0.9490686456857311	5	#80B1D3
AT1G31290	-0.7864010185355736	-0.7127352491320513	0.5294926080835851	0.96964365958404	2	#FFFFB3
AT1G31690	0.08640370879621208	0.9624929362207194	-1.2632104784504148	0.21431383343348334	4	#FB8072
AT1G32172	-0.6714841813799634	-0.8998915479540598	0.8537764336880765	0.7175992956459464	1	#8DD3C7
AT1G32310	0.9448769873903513	0.8558292394839133	-0.8998790674020265	-0.9008271594722388	5	#80B1D3
AT1G33260	-0.5287081215384022	-0.9922561274338997	0.5592114210502905	0.9617528279220112	1	#8DD3C7
AT1G34317	-0.7936505023849507	-0.9650807836944977	1.1805163583348668	0.5782149277445816	1	#8DD3C7
AT1G34510	-0.33281379131546107	-1.0462305137481023	1.0940631755547139	0.28498112950884924	1	#8DD3C7
AT1G34842	1.1123682245322233	0.7448872942128618	-0.8569382815284978	-1.0003172372165872	5	#80B1D3
AT1G34844	1.1153546672649282	0.7522472206147836	-0.8746934682106435	-0.9929084196690684	5	#80B1D3
AT1G34967	-0.7116526384610506	-0.6368691829252269	1.3700897950342787	-0.021567973648001115	1	#8DD3C7
AT1G35140	0.24762523141412487	1.259801816308192	-0.9400237505887863	-0.5674032971335313	4	#FB8072
AT1G35260	1.0467433920798013	0.7640503161522099	-1.0774016794229178	-0.7333920288090923	5	#80B1D3
