gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G29170	226.88285626658495	1.8467359420847382	0.24715171699859587	7.472074094857411	7.894053409392066e-14	1.007494567833276e-11
AT5G64910	69.5641066857901	2.6755308930132418	0.3592557492104266	7.447426795238579	9.517832963534712e-14	1.2082019037742906e-11
AT3G66658	324.73995209185824	-1.298280523757285	0.1743768544157596	-7.445257159312256	9.675575720371345e-14	1.2216578520518066e-11
AT2G45290	1350.842608477864	0.8267002070302384	0.11122969223581398	7.432369814326031	1.06669069399204e-13	1.3396613816939391e-11
AT2G36885	236.52191358406407	-1.8230842862526508	0.2454283269520207	-7.428173874196069	1.1010716293062772e-13	1.3755239280185455e-11
AT4G01860	436.12032265483083	-1.0924788718284275	0.14716952692081814	-7.423268217857462	1.142650474632489e-13	1.4199537029761947e-11
AT2G43610	1046.3559180783907	-0.9960684208017578	0.13423431136177427	-7.4203712202706384	1.1679251945478395e-13	1.4437634433753423e-11
AT2G04170	850.1673916611353	1.0646960675547732	0.14400484382303863	7.3934739921882935	1.4304143847652893e-13	1.759037189515273e-11
AT2G25480	215.86116951711222	-1.6784246034532304	0.22717821055934748	-7.388140787449168	1.4889604445910976e-13	1.8215463760228188e-11
AT2G42530	238.59254972968287	1.6620105661819589	0.22600003055215526	7.3540280597369545	1.9232133387591246e-13	2.3406695949196747e-11
AT5G46250	959.2975707858918	-1.1446219102297506	0.15580557038519818	-7.346476171550871	2.0350048242707836e-13	2.4540044872673126e-11
AT5G46630	1029.7885406790483	-0.7487226543845801	0.10191781871827647	-7.346337115536353	2.0371220172986883e-13	2.4540044872673126e-11
AT4G13495	789.48354293856	-1.0518162883507634	0.14351360901732665	-7.329035173408368	2.318155451227339e-13	2.7783740283720156e-11
AT1G70260	150.6110410614444	1.6543567680498752	0.22596651331729986	7.321247488236651	2.4567626219250034e-13	2.9149056415211686e-11
AT5G20740	172.59123573813102	1.9685871881775145	0.268862797196939	7.321902504553452	2.444797565343427e-13	2.9149056415211686e-11
AT2G13665	49.21242478871423	-3.6694787386687113	0.5022424511085184	-7.3061899299226205	2.74823641102858e-13	3.2282890497908366e-11
AT2G14045	226.21125768009244	-1.3342578744566986	0.18261997796097787	-7.306198858165463	2.7480539026284497e-13	3.2282890497908366e-11
AT5G47930	2177.1639671990315	-0.7831311783474645	0.10730330673769521	-7.298294918924001	2.9143728827811035e-13	3.406497927492309e-11
AT1G23935	213.3398253103955	1.8910437453427238	0.25973379010552516	7.280699767921712	3.320930187264325e-13	3.862585352290541e-11
AT2G00550	45.95311406140607	5.601815755049632	0.7699303608772493	7.275743417452705	3.4451786079110827e-13	3.987456476048459e-11
AT2G14878	248.45820064686438	-1.395168359465181	0.191787399916909	-7.274556931631751	3.475592780933283e-13	4.003035178078817e-11
AT2G17280	384.51248013321816	1.4095176661552566	0.19380270659387916	7.2729513995331025	3.517168895281236e-13	4.0312560575963714e-11
AT3G61160	253.86159855069317	1.4438612071886272	0.19856311009112246	7.271548106423323	3.553907664316207e-13	4.053686660008211e-11
AT5G43430	170.48202884063602	-1.5534307956597904	0.2136885430918022	-7.269602633737948	3.6054650206080767e-13	4.092722817383524e-11
AT1G03940	64.80561228486357	-2.6833275639333074	0.36946760237068604	-7.262687030515684	3.794752687625047e-13	4.2869811343308605e-11
AT1G27940	84.42651220791318	2.347923847808902	0.32332979324736655	7.2616996541750805	3.822562443014933e-13	4.29783437342979e-11
AT1G16390	167.9109870102183	-1.9962105527522593	0.27495879867486334	-7.260035184808772	3.8698964669324594e-13	4.330432487238972e-11
AT3G26612	43.32835403763611	-4.633449385906064	0.638289189345686	-7.259169453670115	3.894743110408687e-13	4.3376782820688447e-11
AT2G05632	46.967291962512355	-6.052191742770428	0.8339893661243342	-7.2569171605818115	3.9601206195958234e-13	4.3897844107641777e-11
